Context	Hypothesis	Entailment_Label	Topic_Label
अशांत इलाकों में पाक सेना का एफएम चैनल 	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
अशांत इलाकों में पाक सेना का एफएम चैनल 	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
अशांत इलाकों में पाक सेना का एफएम चैनल 	यह विज्ञान की सूचना है|	not-entailed	2
अशांत इलाकों में पाक सेना का एफएम चैनल 	यह विज्ञान की सूचना नहीं है|	entailed	2
महेला जयवर्धने का टेस्ट से संन्यास	यह खेल की सूचना है|	entailed	4
महेला जयवर्धने का टेस्ट से संन्यास	यह खेल की सूचना नहीं है|	not-entailed	4
महेला जयवर्धने का टेस्ट से संन्यास	यह विज्ञान की सूचना है|	not-entailed	4
महेला जयवर्धने का टेस्ट से संन्यास	यह विज्ञान की सूचना नहीं है|	entailed	4
मिलिए दुनिया के 'सबसे गरीब' राष्ट्रपति से	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
मिलिए दुनिया के 'सबसे गरीब' राष्ट्रपति से	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
मिलिए दुनिया के 'सबसे गरीब' राष्ट्रपति से	यह मनोरंजन की सूचना है|	not-entailed	2
मिलिए दुनिया के 'सबसे गरीब' राष्ट्रपति से	यह मनोरंजन की सूचना नहीं है|	entailed	2
वह पांच चीज़ें जिनमें चूक गए राहुल गांधी	यह भारत की सूचना है|	entailed	0
वह पांच चीज़ें जिनमें चूक गए राहुल गांधी	यह भारत की सूचना नहीं है|	not-entailed	0
वह पांच चीज़ें जिनमें चूक गए राहुल गांधी	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	0
वह पांच चीज़ें जिनमें चूक गए राहुल गांधी	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	0
चीन की 'चेक डिप्लोमेसी', चक्रव्यूह में भारत?	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
चीन की 'चेक डिप्लोमेसी', चक्रव्यूह में भारत?	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
चीन की 'चेक डिप्लोमेसी', चक्रव्यूह में भारत?	यह मनोरंजन की सूचना है|	not-entailed	2
चीन की 'चेक डिप्लोमेसी', चक्रव्यूह में भारत?	यह मनोरंजन की सूचना नहीं है|	entailed	2
एक करोड़ 55 लाख रूपए की बोली	यह भारत की सूचना है|	entailed	0
एक करोड़ 55 लाख रूपए की बोली	यह भारत की सूचना नहीं है|	not-entailed	0
एक करोड़ 55 लाख रूपए की बोली	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	0
एक करोड़ 55 लाख रूपए की बोली	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	0
आशंकाओं और पाकिस्तान के बिना अफ़गानिस्तान सम्मेलन	यह खबर की सूचना है|	entailed	1
आशंकाओं और पाकिस्तान के बिना अफ़गानिस्तान सम्मेलन	यह खबर की सूचना नहीं है|	not-entailed	1
आशंकाओं और पाकिस्तान के बिना अफ़गानिस्तान सम्मेलन	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	1
आशंकाओं और पाकिस्तान के बिना अफ़गानिस्तान सम्मेलन	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	1
प्रेम में पिछड़ गए फ़्रांसीसी	यह खबर की सूचना है|	entailed	1
प्रेम में पिछड़ गए फ़्रांसीसी	यह खबर की सूचना नहीं है|	not-entailed	1
प्रेम में पिछड़ गए फ़्रांसीसी	यह भारत की सूचना है|	not-entailed	1
प्रेम में पिछड़ गए फ़्रांसीसी	यह भारत की सूचना नहीं है|	entailed	1
डियर दुनिया	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
डियर दुनिया	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
डियर दुनिया	यह खबर की सूचना है|	not-entailed	2
डियर दुनिया	यह खबर की सूचना नहीं है|	entailed	2
उत्तर कोरिया की हमले की धमकी पर अमरीका गंभीर	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
उत्तर कोरिया की हमले की धमकी पर अमरीका गंभीर	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
उत्तर कोरिया की हमले की धमकी पर अमरीका गंभीर	यह खेल की सूचना है|	not-entailed	2
उत्तर कोरिया की हमले की धमकी पर अमरीका गंभीर	यह खेल की सूचना नहीं है|	entailed	2
क्या व्यापार का गुण पैदाइशी हो सकता है?	यह विज्ञान की सूचना है|	entailed	5
क्या व्यापार का गुण पैदाइशी हो सकता है?	यह विज्ञान की सूचना नहीं है|	not-entailed	5
क्या व्यापार का गुण पैदाइशी हो सकता है?	यह भारत की सूचना है|	not-entailed	5
क्या व्यापार का गुण पैदाइशी हो सकता है?	यह भारत की सूचना नहीं है|	entailed	5
सूची से नाम ग़ायब होने पर चुनाव आयोग की माफ़ी	यह भारत की सूचना है|	entailed	0
सूची से नाम ग़ायब होने पर चुनाव आयोग की माफ़ी	यह भारत की सूचना नहीं है|	not-entailed	0
सूची से नाम ग़ायब होने पर चुनाव आयोग की माफ़ी	यह खबर की सूचना है|	not-entailed	0
सूची से नाम ग़ायब होने पर चुनाव आयोग की माफ़ी	यह खबर की सूचना नहीं है|	entailed	0
35 साल से बन रही है राजधानी, अब भी अधूरी	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
35 साल से बन रही है राजधानी, अब भी अधूरी	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
35 साल से बन रही है राजधानी, अब भी अधूरी	यह भारत की सूचना है|	not-entailed	2
35 साल से बन रही है राजधानी, अब भी अधूरी	यह भारत की सूचना नहीं है|	entailed	2
पाकिस्तान: मसालेदार खाने का 'अपराधी' बच्चो से रिश्ता	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
पाकिस्तान: मसालेदार खाने का 'अपराधी' बच्चो से रिश्ता	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
पाकिस्तान: मसालेदार खाने का 'अपराधी' बच्चो से रिश्ता	यह विज्ञान की सूचना है|	not-entailed	2
पाकिस्तान: मसालेदार खाने का 'अपराधी' बच्चो से रिश्ता	यह विज्ञान की सूचना नहीं है|	entailed	2
हजारों कैदियों की एक साथ रिहाई से सहमे लोग 	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
हजारों कैदियों की एक साथ रिहाई से सहमे लोग 	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
हजारों कैदियों की एक साथ रिहाई से सहमे लोग 	यह भारत की सूचना है|	not-entailed	2
हजारों कैदियों की एक साथ रिहाई से सहमे लोग 	यह भारत की सूचना नहीं है|	entailed	2
चीन: हाइब्रिड सब्ज़ियों और सॉफ़्टवेयर के बाद अब हाइब्रिड बच्चे	यह विज्ञान की सूचना है|	entailed	5
चीन: हाइब्रिड सब्ज़ियों और सॉफ़्टवेयर के बाद अब हाइब्रिड बच्चे	यह विज्ञान की सूचना नहीं है|	not-entailed	5
चीन: हाइब्रिड सब्ज़ियों और सॉफ़्टवेयर के बाद अब हाइब्रिड बच्चे	यह मनोरंजन की सूचना है|	not-entailed	5
चीन: हाइब्रिड सब्ज़ियों और सॉफ़्टवेयर के बाद अब हाइब्रिड बच्चे	यह मनोरंजन की सूचना नहीं है|	entailed	5
मोदी-केजरीवाल समर्थकों के निशाने पर विकिपीडिया?	यह भारत की सूचना है|	entailed	0
मोदी-केजरीवाल समर्थकों के निशाने पर विकिपीडिया?	यह भारत की सूचना नहीं है|	not-entailed	0
मोदी-केजरीवाल समर्थकों के निशाने पर विकिपीडिया?	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	0
मोदी-केजरीवाल समर्थकों के निशाने पर विकिपीडिया?	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	0
'माँ-बाप ने चाइल्ड पॉर्नोग्राफ़ी में धकेला'	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
'माँ-बाप ने चाइल्ड पॉर्नोग्राफ़ी में धकेला'	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
'माँ-बाप ने चाइल्ड पॉर्नोग्राफ़ी में धकेला'	यह भारत की सूचना है|	not-entailed	2
'माँ-बाप ने चाइल्ड पॉर्नोग्राफ़ी में धकेला'	यह भारत की सूचना नहीं है|	entailed	2
'आर्ट गैलरियों का दबदबा खतरनाक'	यह भारत की सूचना है|	entailed	0
'आर्ट गैलरियों का दबदबा खतरनाक'	यह भारत की सूचना नहीं है|	not-entailed	0
'आर्ट गैलरियों का दबदबा खतरनाक'	यह खेल की सूचना है|	not-entailed	0
'आर्ट गैलरियों का दबदबा खतरनाक'	यह खेल की सूचना नहीं है|	entailed	0
किशोर दा पर फ़िल्म से मधुबाला की बहन चिंतित	यह मनोरंजन की सूचना है|	entailed	3
किशोर दा पर फ़िल्म से मधुबाला की बहन चिंतित	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
किशोर दा पर फ़िल्म से मधुबाला की बहन चिंतित	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	3
किशोर दा पर फ़िल्म से मधुबाला की बहन चिंतित	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	3
विपक्षी नेताओं से मिलेंगे मोर्सी, तनाव जारी	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
विपक्षी नेताओं से मिलेंगे मोर्सी, तनाव जारी	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
विपक्षी नेताओं से मिलेंगे मोर्सी, तनाव जारी	यह भारत की सूचना है|	not-entailed	2
विपक्षी नेताओं से मिलेंगे मोर्सी, तनाव जारी	यह भारत की सूचना नहीं है|	entailed	2
नरेंद्र मोदी में है पीएम बनने का दम: गडकरी	यह खबर की सूचना है|	entailed	1
नरेंद्र मोदी में है पीएम बनने का दम: गडकरी	यह खबर की सूचना नहीं है|	not-entailed	1
नरेंद्र मोदी में है पीएम बनने का दम: गडकरी	यह मनोरंजन की सूचना है|	not-entailed	1
नरेंद्र मोदी में है पीएम बनने का दम: गडकरी	यह मनोरंजन की सूचना नहीं है|	entailed	1
नई सड़कें : कहीं मौक़ा कहीं मुसीबत	यह भारत की सूचना है|	entailed	0
नई सड़कें : कहीं मौक़ा कहीं मुसीबत	यह भारत की सूचना नहीं है|	not-entailed	0
नई सड़कें : कहीं मौक़ा कहीं मुसीबत	यह विज्ञान की सूचना है|	not-entailed	0
नई सड़कें : कहीं मौक़ा कहीं मुसीबत	यह विज्ञान की सूचना नहीं है|	entailed	0
थाइरॉयड से बचना है तो कैल्शियम लें	यह विज्ञान की सूचना है|	entailed	5
थाइरॉयड से बचना है तो कैल्शियम लें	यह विज्ञान की सूचना नहीं है|	not-entailed	5
थाइरॉयड से बचना है तो कैल्शियम लें	यह खबर की सूचना है|	not-entailed	5
थाइरॉयड से बचना है तो कैल्शियम लें	यह खबर की सूचना नहीं है|	entailed	5
अख़बार के दफ़्तरों के बाहर खड़े रहते थे मंटो	यह मनोरंजन की सूचना है|	entailed	3
अख़बार के दफ़्तरों के बाहर खड़े रहते थे मंटो	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
अख़बार के दफ़्तरों के बाहर खड़े रहते थे मंटो	यह भारत की सूचना है|	not-entailed	3
अख़बार के दफ़्तरों के बाहर खड़े रहते थे मंटो	यह भारत की सूचना नहीं है|	entailed	3
पाकिस्तान ने दिया भारत को 'विशेष दर्जा'	यह खबर की सूचना है|	entailed	1
पाकिस्तान ने दिया भारत को 'विशेष दर्जा'	यह खबर की सूचना नहीं है|	not-entailed	1
पाकिस्तान ने दिया भारत को 'विशेष दर्जा'	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	1
पाकिस्तान ने दिया भारत को 'विशेष दर्जा'	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	1
पेश हुआ भूमि अधिग्रहण बिल	यह भारत की सूचना है|	entailed	0
पेश हुआ भूमि अधिग्रहण बिल	यह भारत की सूचना नहीं है|	not-entailed	0
पेश हुआ भूमि अधिग्रहण बिल	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	0
पेश हुआ भूमि अधिग्रहण बिल	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	0
दतिया: 'हादसे का दुख तो है पर तीर्थ भी ज़रूरी है'	यह भारत की सूचना है|	entailed	0
दतिया: 'हादसे का दुख तो है पर तीर्थ भी ज़रूरी है'	यह भारत की सूचना नहीं है|	not-entailed	0
दतिया: 'हादसे का दुख तो है पर तीर्थ भी ज़रूरी है'	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	0
दतिया: 'हादसे का दुख तो है पर तीर्थ भी ज़रूरी है'	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	0
सरकार को ग़रीबों की तादाद नहीं मालूम	यह भारत की सूचना है|	entailed	0
सरकार को ग़रीबों की तादाद नहीं मालूम	यह भारत की सूचना नहीं है|	not-entailed	0
सरकार को ग़रीबों की तादाद नहीं मालूम	यह खबर की सूचना है|	not-entailed	0
सरकार को ग़रीबों की तादाद नहीं मालूम	यह खबर की सूचना नहीं है|	entailed	0
आंतरिक सुरक्षा बैठक से पहले ही विवाद शुरू	यह भारत की सूचना है|	entailed	0
आंतरिक सुरक्षा बैठक से पहले ही विवाद शुरू	यह भारत की सूचना नहीं है|	not-entailed	0
आंतरिक सुरक्षा बैठक से पहले ही विवाद शुरू	यह खेल की सूचना है|	not-entailed	0
आंतरिक सुरक्षा बैठक से पहले ही विवाद शुरू	यह खेल की सूचना नहीं है|	entailed	0
चीन में जबरन गर्भपात की फोटो पर गुस्सा	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
चीन में जबरन गर्भपात की फोटो पर गुस्सा	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
चीन में जबरन गर्भपात की फोटो पर गुस्सा	यह खेल की सूचना है|	not-entailed	2
चीन में जबरन गर्भपात की फोटो पर गुस्सा	यह खेल की सूचना नहीं है|	entailed	2
दिल्ली: भारी सुरक्षा के बीच मतदान	यह भारत की सूचना है|	entailed	0
दिल्ली: भारी सुरक्षा के बीच मतदान	यह भारत की सूचना नहीं है|	not-entailed	0
दिल्ली: भारी सुरक्षा के बीच मतदान	यह खेल की सूचना है|	not-entailed	0
दिल्ली: भारी सुरक्षा के बीच मतदान	यह खेल की सूचना नहीं है|	entailed	0
नजरियाः 'आधार लिंक करने के गंभीर परिणामों को पहचाने सरकार'	यह भारत की सूचना है|	entailed	0
नजरियाः 'आधार लिंक करने के गंभीर परिणामों को पहचाने सरकार'	यह भारत की सूचना नहीं है|	not-entailed	0
नजरियाः 'आधार लिंक करने के गंभीर परिणामों को पहचाने सरकार'	यह विज्ञान की सूचना है|	not-entailed	0
नजरियाः 'आधार लिंक करने के गंभीर परिणामों को पहचाने सरकार'	यह विज्ञान की सूचना नहीं है|	entailed	0
फेसबुक पर बांका जवान बता कर ठग लिया	यह भारत की सूचना है|	entailed	0
फेसबुक पर बांका जवान बता कर ठग लिया	यह भारत की सूचना नहीं है|	not-entailed	0
फेसबुक पर बांका जवान बता कर ठग लिया	यह विज्ञान की सूचना है|	not-entailed	0
फेसबुक पर बांका जवान बता कर ठग लिया	यह विज्ञान की सूचना नहीं है|	entailed	0
ओबामा: चुनौतियों और विरासत की जंग	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
ओबामा: चुनौतियों और विरासत की जंग	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
ओबामा: चुनौतियों और विरासत की जंग	यह मनोरंजन की सूचना है|	not-entailed	2
ओबामा: चुनौतियों और विरासत की जंग	यह मनोरंजन की सूचना नहीं है|	entailed	2
सोशल सरगर्मी: ट्विटर फ़ेसबुक पर मोदी छाए	यह भारत की सूचना है|	entailed	0
सोशल सरगर्मी: ट्विटर फ़ेसबुक पर मोदी छाए	यह भारत की सूचना नहीं है|	not-entailed	0
सोशल सरगर्मी: ट्विटर फ़ेसबुक पर मोदी छाए	यह विज्ञान की सूचना है|	not-entailed	0
सोशल सरगर्मी: ट्विटर फ़ेसबुक पर मोदी छाए	यह विज्ञान की सूचना नहीं है|	entailed	0
उत्तराखंड में नमाज़ के लिए अलग से छुट्टी	यह भारत की सूचना है|	entailed	0
उत्तराखंड में नमाज़ के लिए अलग से छुट्टी	यह भारत की सूचना नहीं है|	not-entailed	0
उत्तराखंड में नमाज़ के लिए अलग से छुट्टी	यह खेल की सूचना है|	not-entailed	0
उत्तराखंड में नमाज़ के लिए अलग से छुट्टी	यह खेल की सूचना नहीं है|	entailed	0
आउटसोर्सिंग पर भारत को उम्मीद	यह खबर की सूचना है|	entailed	1
आउटसोर्सिंग पर भारत को उम्मीद	यह खबर की सूचना नहीं है|	not-entailed	1
आउटसोर्सिंग पर भारत को उम्मीद	यह खेल की सूचना है|	not-entailed	1
आउटसोर्सिंग पर भारत को उम्मीद	यह खेल की सूचना नहीं है|	entailed	1
रोनाल्डो को मिल रही है रिकॉर्ड क़ीमत	यह खेल की सूचना है|	entailed	4
रोनाल्डो को मिल रही है रिकॉर्ड क़ीमत	यह खेल की सूचना नहीं है|	not-entailed	4
रोनाल्डो को मिल रही है रिकॉर्ड क़ीमत	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	4
रोनाल्डो को मिल रही है रिकॉर्ड क़ीमत	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	4
चीन का सबसे लंबा अंतरिक्ष अभियान शुरु 	यह विज्ञान की सूचना है|	entailed	5
चीन का सबसे लंबा अंतरिक्ष अभियान शुरु 	यह विज्ञान की सूचना नहीं है|	not-entailed	5
चीन का सबसे लंबा अंतरिक्ष अभियान शुरु 	यह भारत की सूचना है|	not-entailed	5
चीन का सबसे लंबा अंतरिक्ष अभियान शुरु 	यह भारत की सूचना नहीं है|	entailed	5
रूस के अस्पताल में लगी आग, 38 की मौत	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
रूस के अस्पताल में लगी आग, 38 की मौत	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
रूस के अस्पताल में लगी आग, 38 की मौत	यह विज्ञान की सूचना है|	not-entailed	2
रूस के अस्पताल में लगी आग, 38 की मौत	यह विज्ञान की सूचना नहीं है|	entailed	2
मां की हत्या के लिए मुशर्रफ दोषी: बिलावल	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
मां की हत्या के लिए मुशर्रफ दोषी: बिलावल	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
मां की हत्या के लिए मुशर्रफ दोषी: बिलावल	यह खेल की सूचना है|	not-entailed	2
मां की हत्या के लिए मुशर्रफ दोषी: बिलावल	यह खेल की सूचना नहीं है|	entailed	2
भारत में बन रहा है एशिया का सबसे बड़ा संरक्षित वन क्षेत्र 	यह विज्ञान की सूचना है|	entailed	5
भारत में बन रहा है एशिया का सबसे बड़ा संरक्षित वन क्षेत्र 	यह विज्ञान की सूचना नहीं है|	not-entailed	5
भारत में बन रहा है एशिया का सबसे बड़ा संरक्षित वन क्षेत्र 	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	5
भारत में बन रहा है एशिया का सबसे बड़ा संरक्षित वन क्षेत्र 	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	5
अगर मोनालिसा भारतीय होती तो?	यह भारत की सूचना है|	entailed	0
अगर मोनालिसा भारतीय होती तो?	यह भारत की सूचना नहीं है|	not-entailed	0
अगर मोनालिसा भारतीय होती तो?	यह खबर की सूचना है|	not-entailed	0
अगर मोनालिसा भारतीय होती तो?	यह खबर की सूचना नहीं है|	entailed	0
मिलिए पाकिस्तान की पहली महिला फ़ाइटर पायलट से	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
मिलिए पाकिस्तान की पहली महिला फ़ाइटर पायलट से	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
मिलिए पाकिस्तान की पहली महिला फ़ाइटर पायलट से	यह विज्ञान की सूचना है|	not-entailed	2
मिलिए पाकिस्तान की पहली महिला फ़ाइटर पायलट से	यह विज्ञान की सूचना नहीं है|	entailed	2
भारत का 20 लाख साल पुराना इतिहास देखेंगे?	यह भारत की सूचना है|	entailed	0
भारत का 20 लाख साल पुराना इतिहास देखेंगे?	यह भारत की सूचना नहीं है|	not-entailed	0
भारत का 20 लाख साल पुराना इतिहास देखेंगे?	यह मनोरंजन की सूचना है|	not-entailed	0
भारत का 20 लाख साल पुराना इतिहास देखेंगे?	यह मनोरंजन की सूचना नहीं है|	entailed	0
खुद को भारतीय हिप्पी मानती हूं: लेडी गागा	यह मनोरंजन की सूचना है|	entailed	3
खुद को भारतीय हिप्पी मानती हूं: लेडी गागा	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
खुद को भारतीय हिप्पी मानती हूं: लेडी गागा	यह खबर की सूचना है|	not-entailed	3
खुद को भारतीय हिप्पी मानती हूं: लेडी गागा	यह खबर की सूचना नहीं है|	entailed	3
भिखारियों को मिलेंगे हर रोज़ 100 रूपए	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
भिखारियों को मिलेंगे हर रोज़ 100 रूपए	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
भिखारियों को मिलेंगे हर रोज़ 100 रूपए	यह विज्ञान की सूचना है|	not-entailed	2
भिखारियों को मिलेंगे हर रोज़ 100 रूपए	यह विज्ञान की सूचना नहीं है|	entailed	2
उत्तर कोरिया की रॉकेट लॉन्च करने की तैयारी	यह खबर की सूचना है|	entailed	1
उत्तर कोरिया की रॉकेट लॉन्च करने की तैयारी	यह खबर की सूचना नहीं है|	not-entailed	1
उत्तर कोरिया की रॉकेट लॉन्च करने की तैयारी	यह भारत की सूचना है|	not-entailed	1
उत्तर कोरिया की रॉकेट लॉन्च करने की तैयारी	यह भारत की सूचना नहीं है|	entailed	1
ये हैं चंदौली के ‘ऑनलाइन शॉपिंग हीरो’ 	यह भारत की सूचना है|	entailed	0
ये हैं चंदौली के ‘ऑनलाइन शॉपिंग हीरो’ 	यह भारत की सूचना नहीं है|	not-entailed	0
ये हैं चंदौली के ‘ऑनलाइन शॉपिंग हीरो’ 	यह मनोरंजन की सूचना है|	not-entailed	0
ये हैं चंदौली के ‘ऑनलाइन शॉपिंग हीरो’ 	यह मनोरंजन की सूचना नहीं है|	entailed	0
ये हैं शिवसेना के 'मोदी'...	यह भारत की सूचना है|	entailed	0
ये हैं शिवसेना के 'मोदी'...	यह भारत की सूचना नहीं है|	not-entailed	0
ये हैं शिवसेना के 'मोदी'...	यह खेल की सूचना है|	not-entailed	0
ये हैं शिवसेना के 'मोदी'...	यह खेल की सूचना नहीं है|	entailed	0
शेर, भालू, भेड़िए रह गए हैं आधे	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
शेर, भालू, भेड़िए रह गए हैं आधे	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
शेर, भालू, भेड़िए रह गए हैं आधे	यह विज्ञान की सूचना है|	not-entailed	2
शेर, भालू, भेड़िए रह गए हैं आधे	यह विज्ञान की सूचना नहीं है|	entailed	2
निशानेबाज़ तारा शाहदेव के पति गिरफ़्तार	यह भारत की सूचना है|	entailed	0
निशानेबाज़ तारा शाहदेव के पति गिरफ़्तार	यह भारत की सूचना नहीं है|	not-entailed	0
निशानेबाज़ तारा शाहदेव के पति गिरफ़्तार	यह खबर की सूचना है|	not-entailed	0
निशानेबाज़ तारा शाहदेव के पति गिरफ़्तार	यह खबर की सूचना नहीं है|	entailed	0
क्या वाकई 'नन्हा द्वीप' है ग्रेट ब्रिटेन?	यह खबर की सूचना है|	entailed	1
क्या वाकई 'नन्हा द्वीप' है ग्रेट ब्रिटेन?	यह खबर की सूचना नहीं है|	not-entailed	1
क्या वाकई 'नन्हा द्वीप' है ग्रेट ब्रिटेन?	यह भारत की सूचना है|	not-entailed	1
क्या वाकई 'नन्हा द्वीप' है ग्रेट ब्रिटेन?	यह भारत की सूचना नहीं है|	entailed	1
सलीम खानः मोदी से मेरे निजी संबंध हैं, कांग्रेस का वोटर हूँ	यह मनोरंजन की सूचना है|	entailed	3
सलीम खानः मोदी से मेरे निजी संबंध हैं, कांग्रेस का वोटर हूँ	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
सलीम खानः मोदी से मेरे निजी संबंध हैं, कांग्रेस का वोटर हूँ	यह खेल की सूचना है|	not-entailed	3
सलीम खानः मोदी से मेरे निजी संबंध हैं, कांग्रेस का वोटर हूँ	यह खेल की सूचना नहीं है|	entailed	3
उन्नाव: सोने की खोज में मिलीं लोहे की कीलें 	यह भारत की सूचना है|	entailed	0
उन्नाव: सोने की खोज में मिलीं लोहे की कीलें 	यह भारत की सूचना नहीं है|	not-entailed	0
उन्नाव: सोने की खोज में मिलीं लोहे की कीलें 	यह खेल की सूचना है|	not-entailed	0
उन्नाव: सोने की खोज में मिलीं लोहे की कीलें 	यह खेल की सूचना नहीं है|	entailed	0
नाइजीरिया: 'बोको हराम के 200 चरमपंथी मारे गए'	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
नाइजीरिया: 'बोको हराम के 200 चरमपंथी मारे गए'	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
नाइजीरिया: 'बोको हराम के 200 चरमपंथी मारे गए'	यह मनोरंजन की सूचना है|	not-entailed	2
नाइजीरिया: 'बोको हराम के 200 चरमपंथी मारे गए'	यह मनोरंजन की सूचना नहीं है|	entailed	2
एक कंपनी ऐसी भी !	यह भारत की सूचना है|	entailed	0
एक कंपनी ऐसी भी !	यह भारत की सूचना नहीं है|	not-entailed	0
एक कंपनी ऐसी भी !	यह मनोरंजन की सूचना है|	not-entailed	0
एक कंपनी ऐसी भी !	यह मनोरंजन की सूचना नहीं है|	entailed	0
बिन पानी सब सूना	यह भारत की सूचना है|	entailed	0
बिन पानी सब सूना	यह भारत की सूचना नहीं है|	not-entailed	0
बिन पानी सब सूना	यह खबर की सूचना है|	not-entailed	0
बिन पानी सब सूना	यह खबर की सूचना नहीं है|	entailed	0
बच्चों की मौत कितना झकझोरती है आपको?	यह भारत की सूचना है|	entailed	0
बच्चों की मौत कितना झकझोरती है आपको?	यह भारत की सूचना नहीं है|	not-entailed	0
बच्चों की मौत कितना झकझोरती है आपको?	यह खबर की सूचना है|	not-entailed	0
बच्चों की मौत कितना झकझोरती है आपको?	यह खबर की सूचना नहीं है|	entailed	0
रूस से संबंधों के लेकर डोनल्ड ट्रंप के दामाद भी एफ़बीआई जांच के घेरे में	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
रूस से संबंधों के लेकर डोनल्ड ट्रंप के दामाद भी एफ़बीआई जांच के घेरे में	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
रूस से संबंधों के लेकर डोनल्ड ट्रंप के दामाद भी एफ़बीआई जांच के घेरे में	यह भारत की सूचना है|	not-entailed	2
रूस से संबंधों के लेकर डोनल्ड ट्रंप के दामाद भी एफ़बीआई जांच के घेरे में	यह भारत की सूचना नहीं है|	entailed	2
इतना ख़तरनाक क्यों है इबोला?	यह विज्ञान की सूचना है|	entailed	5
इतना ख़तरनाक क्यों है इबोला?	यह विज्ञान की सूचना नहीं है|	not-entailed	5
इतना ख़तरनाक क्यों है इबोला?	यह खेल की सूचना है|	not-entailed	5
